listing_id,comments
28925,"To start with, the communication was really good and we rent the room a couple hours before we arrived, so very fast service. The women who rent the place was really hospitable. Offered us drinks, she went to bed and me and a friend could just stay in the room, listen to music. Next morning there was a breakfast for us and we could just leave whenever we wanted. Pretty good stay when you just want to sleep somewhere while travelling!"
28925,La maison de Laurence est un véritable havre de paix et de transition. Unique en son genre. Comme sa propriétaire et ses locataires si chaleureux.
218103,"Luis' bed and breakfast is just fantastic.  His communication is top notch and was maybe one of the most hospitable hosts I have ever had.  We changed our plans at the last minute and we were worried it wasn't going to work out because it would inconvenience Luis.  Who knew his greatest concern would be making sure that we had a great breakfast!  The room is very quiet and the blinds make the room pitch black, which is amazing if you want to sleep in.  The gardens are very charming. The listing says it is in Begles and not in Bordeaux but I don't know who draws the lines in the city because this is about as close as you can get.  It takes only a few minutes on the lightrail (just around the corner from Luis' place) but we had a car and it took only a few minutes as well.  The wifi did not work great but that could definitely have been my computer and I did not ask Luis so it was not his fault.  This place is amazing!  If you want the real french B&B experience, stay here."
218103,"Four of us had the pleasure of staying in two rooms over Easter weekend 2012. We were very impressed by the accommodation which was impeccably clean and nicely presented. The B&B is a short walk away from the tram stop which takes you to Bordeaux St-Jean station or downtown in a matter of minutes. Luis. our vivacious host, was very friendly and approachable. You could tell he was passionate about receiving people at his B&B and helping them to fully enjoy their time in Bordeaux and the surrounding areas. The weather wasn't great so we didn't get to fully enjoy the tropical garden / urban oasis but, WOW, what a beautiful and tranquil space - clearly a labour of love! Great work, Luis!"
218103,"What a fantastic host and a brilliant place!!!!!!!!!
We arrived into a little piece of paradise. Our apartment was amazing. Huge comfortable bed, big living area, new very modern kitchen and an amazing bathroom (after spending a week in paris we really appreciated the water pressure and modern facilities)
Breakfast is served in a beautiful common room. Luis had everything laid out so wonderfully - bespoke jams, rich french butter and amazing farm style bread.
Would i stay again??? I think i could live there forever. Next year we plan to bring customers from our wine bar for a small tour and book out the entire 4 apartments.
Thank Luis for the place and your time (if you don't know what to do in Bordeaux Luis is a wealth of information and loves to share.)"
218103,"my friends and i ( 5ppl in total) had pleasant stay in this tropical garden, Luis is an amazing host, he was very nice and provided excellent service for use during our stay. I really highly recommend this B&B. It was a shame we didnt really have enough time to enjoy Luis' French style breadfast but really, was great!

If you are looking for somewhere convenience, warm and comfortable place to stay, definately here!"
218103,"Un grand merci à Luis pour ce super séjour ! Les chambres étaient très agréables. Les petits déjeuners top ! 

De plus Luis nous a donné énormément de conseils sur Bordeaux et les alentours. 

Nous tenons tous les 4 à le remercier pour son sympathique accueil !"
218103,"Luis was super great! Fantastic host who was helpful right from the beginning. The whole experience over-exceeded my expectations, beds were very comfortable with curtains that completely black out the light at night if you wish, beautiful surroundings the gardens are unbelievable. Breakfast was just enough and luis is flexible and accomodating.

Will definitely be going back there again next time I'm in bordeaux :D.

Thanks Luis!"
218103,"I knew I picked the right place when Luis would answer my emails and questions soooo fast.  He had great suggestions and was really wanting our party to have a good time in Bordeaux.  

The pictures of his place are very accurate, but you really have to experience the bamboo gardens and fish pond first hand to get the full sense of peacefulness and relaxing atmosphere.

The rooms were great (we had the two top rooms) - beautifully decorated, comfortable bed, and best of all, the black out blinds.

But best of everything was really Luis - he went above what I would expect of a host in really helping us figure out our plans for the day, and great restaurant suggestions (Try ""Merci"" close to his place for an amazing seafood spread).    His place is not in the center of town, but its so easy to get there by tram.    I will be back."
218103,"Nous avons eu un excellent accueil et un séjour très agréable dans ce gîte raffiné, superbement aménagé. Luis est extrêmement réactif si bien que nous avons eu des réponses à nos questions en quelques heures. La chambre que nous avons eu était très propre, bien isolée et la climatisation a pu apaiser la chaleur en cette période estivale. Nous recommandons cet hôte et nous aurons plaisir à revenir chez lui."
